name,category,value,duped_value,demand
Pastel Pink,Body Color,N/A,N/A,Unknown
Pastel Violet,Body Color,N/A,N/A,Unknown
Pastel Yellow,Body Color,N/A,N/A,Unknown
Patchy Jeans,Texture,30000,N/A,Unknown
Patrol,Vehicle,45000,N/A,Unknown
Peach,Texture,100000,N/A,Close to none
Peppermint,Rim,250000,N/A,Close to none
Performance,Drift,25000,N/A,Unknown
Phindr,Tire Sticker,20000,N/A,Unknown
Pickup,Vehicle,9000,N/A,Unknown
Picnic Table,Furniture,1500000,N/A,Close to none
Piggy,Rim,500000,N/A,Close to none
Pink,Body Color,N/A,N/A,Unknown
Pirate Figurehead,Furniture,500000,N/A,Close to none
Pixel,Drift,75000,N/A,Unknown
Pixel,Texture,1250000,N/A,Very Low
Pixel Campfire,Furniture,250000,N/A,Close to none
Pixel Portrait,Furniture,10000,N/A,Close to none
Pixel Wardrobe,Furniture,N/A,N/A,Unknown
PixelCoin,Drift,500000,N/A,Close to none
Pixeltary,Rim,1000000,N/A,Close to none
Pizza Delivery,Vehicle,500000,N/A,Close to none
Planetary,Rim,2500000,N/A,Very Low
Polaire,Vehicle,2500000,N/A,Decent
Police,Texture,2000,N/A,Unknown
Police,Tire Sticker,20000,N/A,Unknown
Police Chase,Rim,35000,N/A,Unknown
Police Desk,Furniture,1000,N/A,Close to none
Police That Way,Spoiler,25000,N/A,Close to none
Pool Table,Furniture,100000,N/A,Close to none
Poseidon,Vehicle,2500000,N/A,Medium
Posh,Vehicle,500000,N/A,Close to none
Power 1,Vehicle,23000000,23000000,High
Prehistoric,Texture,20000,N/A,Close to none
Prison Bus,Vehicle,150000,N/A,Unknown
Propeller,Rim,250000,N/A,Close to none
Proto-8,Vehicle,30000000,30000000,High
Purple,Body Color,N/A,N/A,Unknown
Puzzle Couch,Furniture,750000,N/A,Close to none
Python,Rim,50000,N/A,Close to none
Quack,Horn,N/A,N/A,Unknown
Quarter Dollar,Rim,250000,N/A,Close to none
Quicksilver,Rim,500000,N/A,Unknown
R-Tracer,Tire Style,175000,N/A,Close to none
R2008,Tire Style,100000,N/A,Close to none
RC Antenna,Spoiler,250000,N/A,Close to none
RFX,Rim,150000,N/A,Unknown
RGB Machine,Furniture,25000,N/A,Close to none
RGB Wall,Furniture,1250000,N/A,Close to none
RTX,Rim,14500000,N/A,Very Low
RX-1,Rim,15000,N/A,Unknown
Race Car Bed,Furniture,2500000,N/A,Close to none
Race Simulator,Furniture,3500000,N/A,Close to none
Racer,Spoiler,50000,N/A,Close to none
Racer,Texture,50000,N/A,Unknown
Racing Wing,Spoiler,20000,N/A,Unknown
Radar,Rim,2000000,N/A,Very Low
Radar,Tire Sticker,25000,N/A,Close to none
Radial Red,Tire Style,250000,N/A,Unknown
Radiant Green,Body Color,250000,N/A,Close to none
Radiant Ice,Body Color,1000000,N/A,Very Low
Radiant Orange,Body Color,500000,N/A,Close to none
Radiant Pink,Body Color,250000,N/A,Close to none
Radiant Polar Blue,Body Color,250000,N/A,Close to none
Radiant Purple,Body Color,250000,N/A,Close to none
Radiant Red,Body Color,250000,N/A,Close to none
Radiant Sun,Body Color,250000,N/A,Close to none
Radiant White,Body Color,250000,N/A,Close to none
Radiant Yellow,Body Color,250000,N/A,Close to none
Radiation Radio,Furniture,250000,N/A,Close to none
Radioactive,Rim,250000,N/A,Close to none
Rainboom,Drift,N/A,N/A,Unknown
Rainbow,Texture,4000,N/A,Unknown
Rainbow,Weapon Skin,N/A,N/A,Unknown
Rally,Rim,250000,N/A,Close to none
Rally Lights,Spoiler,10000,N/A,Close to none
Rally Signage,Furniture,5000,N/A,Close to none
Rally Spotlight,Spoiler,250000,N/A,Close to none
Raptor,Vehicle,11000000,N/A,Decent
Rattler,Vehicle,3500000,N/A,Very Low
Ray,Vehicle,25000,N/A,Unknown
Ray 9,Vehicle,199000,N/A,Unknown
Reactor,Rim,25000,N/A,Close to none
Real Green,Body Color,N/A,N/A,Unknown
Realistic,Horn,N/A,N/A,Unknown
Reaper,Spoiler,100000,N/A,Close to none
Recliner,Furniture,2500,N/A,Close to none
Red,Body Color,N/A,N/A,Unknown
Red 50,Tire Sticker,3000000,N/A,Close to none
Red Eyes,Rim,1500000,N/A,Very Low
Red S3,Tire Sticker,1000000,N/A,Close to none
Rest In Peace,Furniture,6000,N/A,Close to none
Retro Racer,Rim,250000,N/A,Close to none
RetroComputer,Furniture,2000,N/A,Close to none
Retrowave,Rim,1000000,N/A,Close to none
Retrowave,Texture,250000,N/A,Close to none
Revolver,Rim,100000,N/A,Close to none
Revox,Vehicle,1500000,N/A,Medium
Road Hazard,Texture,250000,N/A,Close to none
Road Warrior,Rim,250000,N/A,Close to none
Road Warrior,Texture,100000,N/A,Close to none
Roadster,Vehicle,600000,N/A,Close to none
Roblox R,Spoiler,50000,N/A,Close to none
RobloxStud,Texture,250000,N/A,Close to none
Robo Wing,Spoiler,750000,N/A,Close to none
Rocket,Spoiler,10000,N/A,Unknown
Rok,Tire Style,250000,N/A,Close to none
Roll-X,Rim,500000,N/A,Close to none
Rollerblade,Tire Style,250000,N/A,Close to none
Roulette,Rim,50000,N/A,Close to none
Royal Throne,Furniture,750000,N/A,Close to none
Rubber Ducky,Rim,1500000,N/A,Very Low
Rumble Siren,Horn,N/A,N/A,Unknown
SFOTH,Tire Sticker,N/A,N/A,Unknown
SRT,Rim,25000,N/A,Close to none
SUV,Vehicle,500000,N/A,Close to none
Safari,Tire Style,75000,N/A,Close to none
Sakura,Rim,2000000,N/A,Very Low
Sakura Pink,Body Color,N/A,N/A,Unknown
Sakura Tree,Furniture,1000000,N/A,Close to none
Sand,Body Color,N/A,N/A,Unknown
Sarcophagus Bed,Furniture,2500000,N/A,Close to none
SawBlade,Rim,500000,N/A,Close to none
SawBlade,Spoiler,750000,N/A,Close to none
Scary Organ,Furniture,70000,N/A,Close to none
Scary Sofa,Furniture,5000,N/A,Close to none
Scary Treasures,Furniture,2500,N/A,Close to none
Sci-Fi Kitchen,Furniture,5000000,N/A,Very Low
Scope,Rim,250000,N/A,Close to none
Scorch,Texture,40000,N/A,Unknown
Scorch,Weapon Skin,N/A,N/A,Unknown
Scorpion,Vehicle,6000000,N/A,High
Scythes,Rim,250000,N/A,Close to none
Scythes,Spoiler,250000,N/A,Close to none
Semi Truck,Vehicle,100000,N/A,Unknown
Sendoff,Horn,N/A,N/A,Unknown
Sentinel,Vehicle,250000,N/A,Unknown
Settima,Rim,20000,N/A,Close to none
Shell Classic,Vehicle,2500000,N/A,Low
Shell Mark 5,Vehicle,92000,N/A,Unknown
Shell Speaker,Spoiler,1250000,N/A,Close to none
Ship Wheel,Rim,750000,N/A,Close to none
Shoebox,Furniture,100,N/A,Close to none
Shogun,Spoiler,25000,N/A,Unknown
Shogun,Vehicle,6500000,N/A,Decent
Shooting Star,Drift,500000,N/A,Close to none
Shutter Shade,Rim,750000,N/A,Close to none
Skater Wing,Spoiler,100000,N/A,Close to none
Ski Wing,Spoiler,250000,N/A,Close to none
Skull,Spoiler,750000,N/A,Close to none
Skull And Sails,Tire Sticker,50000,N/A,Close to none
Skyline,Spoiler,250000,N/A,Unknown
Slashers,Rim,35000,N/A,Close to none
Sled Void,Rim,750000,N/A,Close to none
Sloop,Vehicle,1000000,N/A,Close to none
Sloopwreck Bed,Furniture,30000,N/A,Close to none
Small Curtain,Furniture,1000,N/A,Close to none
Small Wood Dining Table,Furniture,1250,N/A,Close to none
SmallOrbitalChandelier,Furniture,10000,N/A,Close to none
SmokeDetector,Furniture,500,N/A,Close to none
Snake,Vehicle,3500000,N/A,Decent
Snake Guard,Spoiler,250000,N/A,Close to none
Snake Skin,Texture,250000,N/A,Close to none
Snow Cannon,Spoiler,1000000,N/A,Close to none
Snow Chain,Tire Style,2500000,N/A,Very Low
Snow Face,Rim,7000000,N/A,Close to none
Snow Log,Spoiler,500000,N/A,Close to none
Snow Shovel,Spoiler,6500000,N/A,Close to none
Snow Trail,Tire Style,2500000,N/A,Very Low
Snowflake,Rim,4000000,N/A,Very Low
Snowstorm,Texture,7500000,N/A,Medium
Snowstorm,Weapon Skin,3000000,N/A,Close to none
Soccer,Rim,1250000,N/A,Close to none
Solo Sofa,Furniture,1750,N/A,Close to none
Space-R,Rim,25000,N/A,Unknown
Spare,Spoiler,1000000,N/A,Close to none
Spares,Spoiler,150000,N/A,Unknown
Spark,Drift,3000000,N/A,Very Low
Sparkler,Rim,1500000,N/A,Very Low
Spawn,Rim,N/A,N/A,Close to none
Spawn Rug,Furniture,250000,N/A,Close to none
Speed,Texture,50000,N/A,Close to none
Speed,Tire Sticker,50000,N/A,Close to none
Speed Coil,Rim,500000,N/A,Close to none
Speed Yacht,Vehicle,250000,N/A,Unknown
Spider Leg,Rim,1500000,N/A,Very Low
Spike,Rim,10000,N/A,Close to none
Spiked,Tire Style,7500000,N/A,Medium
Spinner,Rim,14500000,12500000,Very Low
Spixel,Rim,500000,N/A,Close to none
Spyglass,Rim,250000,N/A,Close to none
Stacked Cyberwing,Spoiler,500000,N/A,Close to none
Stallion,Vehicle,200000,N/A,Unknown
Stance,Rim,2000000,N/A,Very Low
Star,Rim,N/A,N/A,Unknown
Star Badge,Rim,1250000,N/A,Close to none
Star Rug,Furniture,1000,N/A,Close to none
Star Spangled,Texture,250000,N/A,Close to none
Star Wing,Spoiler,750000,N/A,Close to none
Steamer,Horn,N/A,N/A,Unknown
Steed,Vehicle,500000,N/A,Close to none
Step Stool,Furniture,250,N/A,Close to none
Stinger Scythe,Spoiler,1000000,N/A,Unknown
Storm,Rim,750000,N/A,Close to none
Stormrider,Vehicle,2000000,N/A,Decent
Striker,Vehicle,1250000,N/A,Close to none
Studded,Tire Style,N/A,N/A,Unknown
Stunt,Vehicle,300000,N/A,Unknown
SubSpace,Drift,150000,N/A,Close to none
Subcarbon,Rim,75000,N/A,Unknown
Successor,Vehicle,649000,N/A,Close to none
Super Lime,Body Color,10000,N/A,Unknown
Super Star Rug,Furniture,750000,N/A,Close to none
Superattack,Spoiler,N/A,N/A,Unknown
Superstar,Texture,500000,N/A,Close to none
SupersuitDisplay,Furniture,25000,N/A,Close to none
Surfboard Rack,Spoiler,1000000,N/A,Close to none
Surus,Vehicle,109000,N/A,Unknown
Swat Graffiti,Texture,N/A,N/A,Unknown
Swat Van,Vehicle,N/A,N/A,Unknown
Swirl,Texture,20000,N/A,Unknown
Switch1,Furniture,500,N/A,Close to none
Switch2,Furniture,500,N/A,Close to none
Synth,Drift,250000,N/A,Close to none
T Rex Bone,Spoiler,250000,N/A,Close to none
TNT Barrel,Furniture,25000,N/A,Close to none
TailFin,Spoiler,25000,N/A,Unknown
Tall Arch,Spoiler,20000,N/A,Unknown
Tall Houseplant,Furniture,2500,N/A,Close to none
Tank,Vehicle,1000000,N/A,Close to none
Tank Wing,Spoiler,250000,N/A,Close to none
Tanker,Vehicle,80000,N/A,Unknown
Taxi,Texture,15000,N/A,Unknown
Teddy Bear,Rim,250000,N/A,Close to none
Teleporters,Furniture,1250000,N/A,Close to none
Terminator,Spoiler,50000,N/A,Close to none
Tesla,Spoiler,100000,N/A,Close to none
Tesseract,Rim,250000,N/A,Close to none
Theory,Rim,50000,N/A,Unknown
Thin,Tire Sticker,20000,N/A,Unknown
Thing,Tire Sticker,250000,N/A,Close to none
Thrusters,Spoiler,40000000,35000000,Medium
Tiger,Texture,1500000,N/A,Medium
Tiger,Weapon Skin,15000,N/A,Unknown
Tiger Rug,Furniture,750000,N/A,Close to none
Tiki Stack Of Badimo,Furniture,10000,N/A,Close to none
Tiki Tea Bar,Furniture,750000,N/A,Close to none
Tiki Torch,Spoiler,3000000,N/A,Very Low
Tiny Toy,Vehicle,3000000,N/A,Decent
Tiny Wing,Spoiler,15000,N/A,Unknown
Tokyo,Tire Sticker,250000,N/A,Close to none
Torero,Spoiler,250000,N/A,Close to none
Torero,Vehicle,4000000,N/A,Decent
Torii Gate,Spoiler,250000,N/A,Close to none
Torpedo,Vehicle,46500000,40000000,Medium
Touchdown,Texture,250000,N/A,Close to none
Tow Truck,Vehicle,80000,N/A,Unknown
Toy Plane,Furniture,50000,N/A,Close to none
Tracer,Tire Sticker,35000,N/A,Unknown
Track Car Bed,Furniture,750000,N/A,Close to none
Track Toy,Rim,2000000,N/A,Very Low
Trade Sail,Spoiler,500000,N/A,Close to none
Trail Trek,Tire Style,50000,N/A,Close to none
Trailblazer,Vehicle,1000000,N/A,Close to none
Train,Horn,N/A,N/A,Unknown
Trapped Bookshelf,Furniture,4000000,N/A,Very Low
Trapped Spikes,Furniture,33333,N/A,Close to none
Travel Case,Spoiler,250000,N/A,Close to none
Treaded,Tire Style,N/A,N/A,Unknown
Treaded Sport,Tire Style,N/A,N/A,Unknown
Treaded Thick,Tire Style,N/A,N/A,Unknown
Treasure Island,Rim,15000,N/A,Close to none
Trion,Rim,250000,N/A,Close to none
Triple Fin,Spoiler,750000,N/A,Close to none
Trophy Wings,Spoiler,250000,N/A,Close to none
Trouble Wing,Spoiler,100000,N/A,Unknown
Truss,Rim,250000,N/A,Close to none
Tsutek,Spoiler,20000,N/A,Unknown
Tulip Chair,Furniture,1250,N/A,Close to none
Tumble Weed,Rim,1000000,N/A,Close to none
Tuner,Spoiler,750000,N/A,Close to none
Turbine,Rim,1000,N/A,Unknown
Turning Key,Spoiler,500000,N/A,Close to none
Turret,Furniture,3000,N/A,Close to none
Twin Bed,Furniture,5000,N/A,Close to none
TwinSofa,Furniture,10000,N/A,Close to none
Two Sided,Texture,20000,N/A,Unknown
UFO,Spoiler,1000000,N/A,Close to none
UFO,Vehicle,500000,N/A,Unknown
UK Heritage,Rim,750000,N/A,Close to none
USA,Tire Sticker,50000,N/A,Close to none
Unified,Rim,40000,N/A,Unknown
Unknown Signal,Rim,500000,N/A,Close to none
VFX,Rim,35000,N/A,Unknown
VIP Chrome,Body Color,N/A,N/A,Unknown
VIP Radio,Furniture,N/A,N/A,Unknown
Vantablack,Body Color,24000000,N/A,Low
Vault Door,Rim,100000,N/A,Close to none
Vecchio,Rim,20000,N/A,Unknown
Velocity,Spoiler,3000000,N/A,Very Low
Venom,Vehicle,600000,N/A,Close to none
Vent,Furniture,500,N/A,Close to none
Vibrant Hologram,Texture,250000,N/A,Close to none
Vintage Wings,Spoiler,250000,N/A,Close to none
Void,Rim,47000000,42000000,Decent
Volcano,Texture,39000,N/A,Unknown
VolleyBall,Rim,250000,N/A,Close to none
Volt,Texture,35000,N/A,Close to none
Volt,Vehicle,1000000,N/A,Very Low
Volt 4x4,Vehicle,10000000,N/A,Decent
Volt Media Table,Furniture,5000,N/A,Close to none
Volt Shelf,Furniture,1500,N/A,Close to none
Volt Wing,Spoiler,4000000,N/A,Very Low
Voltline,Spoiler,25000,N/A,Unknown
Voltline,Tire Style,250000,N/A,Unknown
Voxel,Spoiler,50000,N/A,Close to none
Voxel Sofa,Furniture,25000,N/A,Unknown
Wagon Wheel,Rim,2000000,N/A,Very Low
Walk Of Fame,Furniture,1000000,N/A,Close to none
Wanted Background,Furniture,250000,N/A,Close to none
Wanted Hologram Signage,Furniture,N/A,N/A,Unknown
Water Gun,Spoiler,1500000,N/A,Very Low
Watermelon,Texture,50000,N/A,Unknown
Waving Flag,Spoiler,750000,N/A,Close to none
Wavy,Texture,750000,N/A,Close to none
Wedge,Vehicle,2500000,N/A,Decent
White,Body Color,1000,N/A,Unknown
White Ceiling Fan,Furniture,5000,N/A,Close to none
White Marble,Texture,1000000,N/A,Very Low
White Marble,Weapon Skin,1250000,N/A,Close to none
Wild West Wagon,Furniture,250000,N/A,Close to none
Windmill,Spoiler,1000000,N/A,Close to none
Wingo,Spoiler,37000,N/A,Close to none
Winner,Horn,750000,N/A,Close to none
Winter Camo,Texture,2500000,N/A,Medium
Winter Rally Lamp,Furniture,100000,N/A,Close to none
WireFrame,Texture,45000,N/A,Unknown
Wood Coffee Table,Furniture,2000,N/A,Close to none
Wood Dining Table,Furniture,2500,N/A,Close to none
Wood Media Table,Furniture,750,N/A,Close to none
Wooden Toy,Texture,500000,N/A,Close to none
Wooden Toy,Weapon Skin,15000,N/A,Unknown
Wyndr,Vehicle,600000,N/A,Close to none
XRK,Vehicle,299000,N/A,Unknown
XRK Aero,Spoiler,N/A,N/A,Unknown
Yarg Cap,Spoiler,100000,N/A,Close to none
Ye Old Chair,Furniture,250,N/A,Close to none
Yellow,Body Color,N/A,N/A,Unknown
Yellow Lamp,Furniture,250,N/A,Close to none
Zebra,Texture,40000,N/A,Unknown
Zebra,Weapon Skin,N/A,N/A,Unknown
laughability,Tire Sticker,N/A,N/A,Unknown
